runtime,strategy,threshold_type,minimum_score,minimum_gap,accepted_suggestions,abstained,coverage_percentage,accepted_accuracy,incorrect_accepted_suggestions,is_score_gap_0_01,is_best_safe_threshold
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.35,0.15,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.35,0.2,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.01,63,83,43.15068493150685,0.9523809523809523,3,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.02,27,119,18.493150684931507,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.05,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.06,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.08,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.1,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.12,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.15,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.2,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.01,63,83,43.15068493150685,0.9523809523809523,3,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.02,27,119,18.493150684931507,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.05,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.06,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.08,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.1,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.12,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.15,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.2,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.01,63,83,43.15068493150685,0.9523809523809523,3,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.02,27,119,18.493150684931507,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.05,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.06,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.08,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.1,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.12,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.15,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.2,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.01,63,83,43.15068493150685,0.9523809523809523,3,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.02,27,119,18.493150684931507,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.05,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.06,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.08,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.1,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.12,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.15,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.2,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.6,0.01,63,83,43.15068493150685,0.9523809523809523,3,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.6,0.02,27,119,18.493150684931507,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.6,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.6,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.6,0.05,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.6,0.06,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.6,0.08,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.6,0.1,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.6,0.12,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.6,0.15,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.6,0.2,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.65,0.01,63,83,43.15068493150685,0.9523809523809523,3,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.65,0.02,27,119,18.493150684931507,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.65,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.65,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.65,0.05,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.65,0.06,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.65,0.08,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.65,0.1,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.65,0.12,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.65,0.15,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.65,0.2,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.7,0.01,63,83,43.15068493150685,0.9523809523809523,3,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.7,0.02,27,119,18.493150684931507,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.7,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.7,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.7,0.05,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.7,0.06,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.7,0.08,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.7,0.1,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.7,0.12,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.7,0.15,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.7,0.2,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.75,0.01,63,83,43.15068493150685,0.9523809523809523,3,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.75,0.02,27,119,18.493150684931507,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.75,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.75,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.75,0.05,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.75,0.06,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.75,0.08,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.75,0.1,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.75,0.12,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.75,0.15,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.75,0.2,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.8,0.01,63,83,43.15068493150685,0.9523809523809523,3,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.8,0.02,27,119,18.493150684931507,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.8,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.8,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.8,0.05,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.8,0.06,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.8,0.08,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.8,0.1,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.8,0.12,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.8,0.15,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.8,0.2,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.85,0.01,59,87,40.41095890410959,0.9491525423728814,3,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.85,0.02,26,120,17.80821917808219,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.85,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.85,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.85,0.05,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.85,0.06,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.85,0.08,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.85,0.1,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.85,0.12,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.85,0.15,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.85,0.2,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.9,0.01,17,129,11.643835616438356,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.9,0.02,10,136,6.8493150684931505,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.9,0.03,2,144,1.36986301369863,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.9,0.04,1,145,0.684931506849315,1.0,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.9,0.05,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.9,0.06,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.9,0.08,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.9,0.1,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.9,0.12,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.9,0.15,0,146,0.0,,0,False,False
ONNX_FP32,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.9,0.2,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,GAP_ONLY,,0.01,61,85,41.78082191780822,0.9672131147540983,2,True,True
ONNX_INT8,HYBRID_PROTOTYPE,GAP_ONLY,,0.02,22,124,15.068493150684931,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,GAP_ONLY,,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,GAP_ONLY,,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,GAP_ONLY,,0.05,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,GAP_ONLY,,0.06,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,GAP_ONLY,,0.08,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,GAP_ONLY,,0.1,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,GAP_ONLY,,0.12,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,GAP_ONLY,,0.15,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,GAP_ONLY,,0.2,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.2,0.01,61,85,41.78082191780822,0.9672131147540983,2,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.2,0.02,22,124,15.068493150684931,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.2,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.2,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.2,0.05,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.2,0.06,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.2,0.08,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.2,0.1,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.2,0.12,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.2,0.15,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.2,0.2,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.25,0.01,61,85,41.78082191780822,0.9672131147540983,2,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.25,0.02,22,124,15.068493150684931,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.25,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.25,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.25,0.05,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.25,0.06,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.25,0.08,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.25,0.1,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.25,0.12,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.25,0.15,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.25,0.2,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.3,0.01,61,85,41.78082191780822,0.9672131147540983,2,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.3,0.02,22,124,15.068493150684931,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.3,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.3,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.3,0.05,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.3,0.06,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.3,0.08,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.3,0.1,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.3,0.12,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.3,0.15,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.3,0.2,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.35,0.01,61,85,41.78082191780822,0.9672131147540983,2,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.35,0.02,22,124,15.068493150684931,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.35,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.35,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.35,0.05,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.35,0.06,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.35,0.08,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.35,0.1,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.35,0.12,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.35,0.15,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.35,0.2,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.01,61,85,41.78082191780822,0.9672131147540983,2,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.02,22,124,15.068493150684931,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.05,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.06,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.08,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.1,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.12,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.15,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.4,0.2,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.01,61,85,41.78082191780822,0.9672131147540983,2,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.02,22,124,15.068493150684931,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.05,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.06,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.08,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.1,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.12,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.15,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.45,0.2,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.01,61,85,41.78082191780822,0.9672131147540983,2,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.02,22,124,15.068493150684931,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.05,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.06,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.08,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.1,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.12,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.15,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.5,0.2,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.01,61,85,41.78082191780822,0.9672131147540983,2,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.02,22,124,15.068493150684931,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.03,6,140,4.109589041095891,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.04,2,144,1.36986301369863,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.05,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.06,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.08,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.1,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.12,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.15,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.55,0.2,0,146,0.0,,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.6,0.01,61,85,41.78082191780822,0.9672131147540983,2,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.6,0.02,22,124,15.068493150684931,1.0,0,False,False
ONNX_INT8,HYBRID_PROTOTYPE,SCORE_AND_GAP,0.6,0.03,6,140,4.109589041095891,1.0,0,False,False
